osm_id,osm_latitude,osm_longitude,verified,epass_name,osm_name,Tọa độ vị trí,google_name,google_latitude,google_longitude,distance,google_address,tên khác,google_maps_url,google_place_id,google_cid
11183842756,22.4167523004016,103.9070398,1,Lào Cai - Sapa,Trạm thu phí Cầu Móng Sến,"22.4168543, 103.9071458",Trạm thu phí Cầu Móng Sến,22.4168543,103.9071458,15.727681752140604,"CW84+PVR, Tả Phìn, Lào Cai, Việt Nam",Trạm thu phí Cầu Móng Sến,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+M%C3%B3ng+S%E1%BA%BFn/data=!4m7!3m6!1s0x36cd6b8affd9ab45:0x1b43a1aa9b0c714b!8m2!3d22.4168543!4d103.9071458!16s%2Fg%2F11vb6d6hnt!19sChIJRavZ_4przTYRS3EMm6qhQxs?authuser=0&hl=vi&rclk=1,ChIJRavZ_4przTYRS3EMm6qhQxs,0x36cd6b8affd9ab45:0x1b43a1aa9b0c714b
11619047243,22.365095900402697,104.0809068,1,Km237,Trạm thu phí Km 237 Cao tốc Hà Nội - Lào Cai,"22.3651385, 104.0808228",Trạm thu phí Km 237 Cao tốc Hà Nội - Lào Cai,22.3651385,104.0808228,9.851341106146032,"938J+38, Gia Phú, Lào Cai, Việt Nam",Trạm Thu phí Km 237 Cao tốc Hà Nội - Lào Cai,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+237+Cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+L%C3%A0o+Cai/data=!4m7!3m6!1s0x36cd3d002fa3c759:0x680d5c72b3e3213a!8m2!3d22.3651385!4d104.0808228!16s%2Fg%2F11x32wb3mq!19sChIJWcejLwA9zTYROiHjs3JcDWg?authuser=0&hl=vi&rclk=1,ChIJWcejLwA9zTYROiHjs3JcDWg,0x36cd3d002fa3c759:0x680d5c72b3e3213a
6554701337,22.34336820040313,104.10600119999998,0,IC17,Trạm Thu phí Xuân Giao (IC18),"22.343404, 104.106081",Trạm Thu phí Xuân Giao (IC18),22.343404,104.106081,9.121609220348786,"84V4+9C8 Trạm Thu phí Xuân Giao (IC18), Gia Phú, Lào Cai, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Xu%C3%A2n+Giao+%28IC18%29/data=!4m7!3m6!1s0x36cd23006cadc861:0xbc625bbfdf1a7f9f!8m2!3d22.3434041!4d104.1060812!16s%2Fg%2F11x0pkm_39!19sChIJYcitbAAjzTYRn38a379bYrw?authuser=0&hl=vi&rclk=1,ChIJYcitbAAjzTYRn38a379bYrw,13574513106488033183
13955471075,22.3158230,104.1787317,1,Phố Lu,Trạm Thu phí Phố Lu,"22.315763, 104.178686",Trạm Thu phí Phố Lu (IC17),22.315763,104.178686,,"857H+HVW Trạm Thu phí Phố Lu (IC17), Bảo Thắng, Lào Cai, Việt Nam",Trạm Thu phí Phố Lu (IC17),https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ph%E1%BB%91+Lu+%28IC17%29/data=!4m7!3m6!1s0x36cd2300273ca275:0xded8d363c092fc2d!8m2!3d22.3157627!4d104.1786865!16s%2Fg%2F11m5s57jvw!19sChIJdaI8JwAjzTYRLfySwGPT2N4?authuser=0&hl=vi&rclk=1,ChIJdaI8JwAjzTYRLfySwGPT2N4,16057816896775584813
6554703289,22.15278350040644,104.3437083,1,IC16,IC16,"22.152732, 104.343695",Trạm Thu phí Văn Bàn (IC16),22.152732,104.343695,5.888115609423667,"582V+GF Trạm Thu phí Văn Bàn (IC16), Bảo Hà, Lào Cai, Việt Nam",Trạm Thu phí Văn Bàn (IC16),https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+V%C4%83n+B%C3%A0n+%28IC16%29/data=!4m7!3m6!1s0x36ccd7003cfb3207:0x31169b3fe27d375f!8m2!3d22.1527324!4d104.3436947!16s%2Fg%2F11m5qj057j!19sChIJBzL7PADXzDYRXzd94j-bFjE?authuser=0&hl=vi&rclk=1,ChIJBzL7PADXzDYRXzd94j-bFjE,3537185256031205215
6876859120,21.87824810040937,104.675479,1,IC14,IC14,"21.878211, 104.675454",Trạm thu phí IC14,21.878211,104.675454,4.865530614254496,"Mậu A, Lào Cai, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+IC14/data=!4m7!3m6!1s0x31334a13efba2a81:0x5d34e739c57bb491!8m2!3d21.8782112!4d104.6754538!16s%2Fg%2F11cknf2111!19sChIJgSq67xNKMzERkbR7xTnnNF0?authuser=0&hl=vi&rclk=1,ChIJgSq67xNKMzERkbR7xTnnNF0,6716247179628622993
6837952271,21.686714400410143,106.6277949,1,Trạm 45,Trạm Thu phí Km45+100,"21.686704, 106.62769",Trạm thu phí Km45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),21.686704,106.62769,10.900247821778912,"MJPH+M3P Trạm Thu Phí Km45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn), Nhân Lý, Lạng Sơn, Việt Nam",Trạm thu phí Km45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+Km45+-+Cao+T%E1%BB%91c+B%E1%BA%AFc+-+Nam+ph%C3%ADa+%C4%90%C3%B4ng+%28B%E1%BA%AFc+Giang+-+L%E1%BA%A1ng+S%C6%A1n%29/data=!4m7!3m6!1s0x314aabba0cd6197d:0x9f4119b084e2428f!8m2!3d21.6867037!4d106.6276903!16s%2Fg%2F11k06t238d!19sChIJfRnWDLqrSjERj0LihLAZQZ8?authuser=0&hl=vi&rclk=1,ChIJfRnWDLqrSjERj0LihLAZQZ8,11475481571451093647
6880975506,21.648064300410176,104.8909391,1,IC12,Trạm Thu phí Yên Bái (IC12),"21.648031, 104.891031",Trạm Thu phí Yên Bái (IC12),21.648031,104.891031,10.194314317620409,"JVXR+6C7 Trạm Thu phí Yên Bái (IC12), Âu Cơ, Âu Lâu, Lào Cai, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Y%C3%AAn+B%C3%A1i+%28IC12%29/data=!4m7!3m6!1s0x31335dea0b5533f3:0xc02b1754ff6dc0e!8m2!3d21.6480308!4d104.8910315!16s%2Fg%2F11gmdy7sfx!19sChIJ8zNVC-pdMzERDtz2T3WxAgw?authuser=0&hl=vi&rclk=1,ChIJ8zNVC-pdMzERDtz2T3WxAgw,865449195819424782
10001978675,21.644076800410176,105.7861744,1,Thái Nguyên Chợ Mới,Trạm thu phí Thái Nguyên - Chợ Mới,"21.644094, 105.785999",Trạm thu phí Thái Nguyên - Chợ Mới,21.644094,105.785999,18.229053040435424,"JQVP+J9Q Trạm Thu phí Thái Nguyên - Chợ Mới, Quan Triều, Thái Nguyên, Việt Nam",Trạm thu phí Thái Nguyên - Chợ Mới,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Th%C3%A1i+Nguy%C3%AAn+-+Ch%E1%BB%A3+M%E1%BB%9Bi/data=!4m7!3m6!1s0x3135273f0771d727:0x210d570178faf1cb!8m2!3d21.6440945!4d105.7859992!16s%2Fg%2F11gh9nqsfy!19sChIJJ9dxBz8nNTERy_H6eAFXDSE?authuser=0&hl=vi&rclk=1,ChIJJ9dxBz8nNTERy_H6eAFXDSE,2381655441785156043
6838027406,21.62055750041017,106.5587157,1,Trạm 279,Trạm Thu phí Quốc lộ 279,"21.6205522, 106.5586596",Trạm thu phí Quốc lộ 279,21.6205522,106.5586596,5.829027300810106,"JHC5+6FF, ĐCT Bắc Giang - Lạng Sơn, Chi Lăng, Lạng Sơn, Việt Nam",Trạm thu phí Quốc lộ 279,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+279/@21.6205522,106.5586596,17z/data=!3m1!4b1!4m6!3m5!1s0x314aa94675f122f7:0x34b7d4deee34ac21!8m2!3d21.6205522!4d106.5586596!16s%2Fg%2F11j8l2s317?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314aa94675f122f7:0x34b7d4deee34ac21
