epass_name,google_name,osm_name,osm_id,latitude,longitude,distance_to_origin,origin_osm_id,origin_osm_name,origin_osm_latitude,origin_osm_longitude,google_maps_url
"Nút giao Tân Vũ, Bạch Đằng, Đình Vũ",Trạm Cao Tốc Hà Nội Hải Phòng (Đình Vũ),Trạm Cao Tốc Hà Nội Hải Phòng (Đình Vũ),13956682360,20.8400015,106.75127,0.0,13956682360,Trạm Cao Tốc Hà Nội Hải Phòng (Đình Vũ),20.840001500401087,106.75126999999999,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Ki%E1%BB%83m+Tra+Tr%E1%BB%8Dng+T%E1%BA%A3i+Cao+T%E1%BB%91c+H%C3%A0+N%E1%BB%99i+H%E1%BA%A3i+Ph%C3%B2ng+(%C4%90%C3%ACnh+V%C5%A9)/@20.8406888,106.7506965,178m/data=!3m2!1e3!4b1!4m6!3m5!1s0x314a65003fc3a3b7:0x722f4cb5b3f34b08!8m2!3d20.8406888!4d106.7513402!16s%2Fg%2F11wn5qs4tw?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao tỉnh lộ 353,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,8544582973,20.77022350039945,106.712905,0.0,8544582973,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770223500399446,106.712905,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+H%E1%BA%A3i+Ph%C3%B2ng/data=!4m7!3m6!1s0x314a71da5f51d149:0xa585c7cd43cd174a!8m2!3d20.770163!4d106.712798!16s%2Fg%2F11c5325vp1!19sChIJSdFRX9pxSjERShfNQ83HhaU?authuser=0&hl=vi&rclk=1
Nút giao tỉnh lộ 353,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,8544582973,20.77022350039945,106.712905,33.8,6385048421,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.77051090039945,106.712799,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+H%E1%BA%A3i+Ph%C3%B2ng/data=!4m7!3m6!1s0x314a71da5f51d149:0xa585c7cd43cd174a!8m2!3d20.770163!4d106.712798!16s%2Fg%2F11c5325vp1!19sChIJSdFRX9pxSjERShfNQ83HhaU?authuser=0&hl=vi&rclk=1
Nút giao tỉnh lộ 353,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,8544582973,20.77022350039945,106.712905,62.3,6385048398,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính - nh 2,20.770749700399453,106.7126992,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+H%E1%BA%A3i+Ph%C3%B2ng/data=!4m7!3m6!1s0x314a71da5f51d149:0xa585c7cd43cd174a!8m2!3d20.770163!4d106.712798!16s%2Fg%2F11c5325vp1!19sChIJSdFRX9pxSjERShfNQ83HhaU?authuser=0&hl=vi&rclk=1
Nút giao tỉnh lộ 353,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,8544582973,20.77022350039945,106.712905,81.1,6971943639,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính - nh 2,20.770905700399453,106.71262899999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+H%E1%BA%A3i+Ph%C3%B2ng/data=!4m7!3m6!1s0x314a71da5f51d149:0xa585c7cd43cd174a!8m2!3d20.770163!4d106.712798!16s%2Fg%2F11c5325vp1!19sChIJSdFRX9pxSjERShfNQ83HhaU?authuser=0&hl=vi&rclk=1
Nút giao tỉnh lộ 392,Trạm thu phí Bình Giang,Trạm thu phí Bình Giang,11946078822,20.851093700401343,106.2021974,0.0,11946078822,Trạm thu phí Bình Giang,20.851093700401343,106.20219739999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%ACnh+Giang/data=!4m7!3m6!1s0x313597001a8c5709:0xb7c1c9956ea6013d!8m2!3d20.8509984!4d106.2025468!16s%2Fg%2F11vpy_57c8!19sChIJCVeMGgCXNTERPQGmbpXJwbc?authuser=0&hl=vi&rclk=1
Nút giao tỉnh lộ 392,Trạm thu phí Bình Giang,Trạm thu phí Bình Giang,11946078822,20.851093700401343,106.2021974,16.7,11946078823,Trạm thu phí Bình Giang,20.850968800401336,106.2021085,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%ACnh+Giang/data=!4m7!3m6!1s0x313597001a8c5709:0xb7c1c9956ea6013d!8m2!3d20.8509984!4d106.2025468!16s%2Fg%2F11vpy_57c8!19sChIJCVeMGgCXNTERPQGmbpXJwbc?authuser=0&hl=vi&rclk=1
QL 10,Trạm thu phí An Lão,Trạm Thu phí Quốc lộ 10,1483838042,20.799370380191224,106.5231486817111,14.8,3878471036,Trạm Thu phí Quốc lộ 10,20.799302300400143,106.5232712,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+An+L%C3%A3o/data=!4m7!3m6!1s0x313589d275758fb9:0x2f5b97a0b5805a38!8m2!3d20.7993129!4d106.5231346!16s%2Fg%2F11c2kk9mxd!19sChIJuY91ddKJNTEROFqAtaCXWy8?authuser=0&hl=vi&rclk=1
QL 10,Trạm thu phí An Lão,Trạm Thu phí Quốc lộ 10,1483838042,20.799370380191224,106.5231486817111,19.8,3878471037,Trạm Thu phí Quốc lộ 10,20.79947940040015,106.5229975,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+An+L%C3%A3o/data=!4m7!3m6!1s0x313589d275758fb9:0x2f5b97a0b5805a38!8m2!3d20.7993129!4d106.5231346!16s%2Fg%2F11c2kk9mxd!19sChIJuY91ddKJNTEROFqAtaCXWy8?authuser=0&hl=vi&rclk=1
QL 38,Trạm Thu phí Tân Phúc - Bãi Sậy,Trạm Thu phí Tân Phúc - Bãi Sậy,12600009197,20.855743300401446,106.1203753,0.0,12600009197,Trạm Thu phí Tân Phúc - Bãi Sậy,20.855743300401446,106.1203753,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+T%C3%A2n+Ph%C3%BAc+-+B%C3%A3i+S%E1%BA%ADy/@20.8550258,106.1172054,17.16z/data=!4m9!1m2!2m1!1zTsO6dCBnaWFvIMOCbiBUaGkgKEjGsG5nIFnDqm4p!3m5!1s0x3135bd0067d67fa1:0xa45ebf26e1c4c9de!8m2!3d20.8548062!4d106.1207903!16s%2Fg%2F11x31yb5wy?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
