google_name,epass_name,osm_id,osm_name,distance_to_origin,origin_osm_id,origin_osm_name,latitude,longitude,google_maps_url,origin_osm_latitude,origin_osm_longitude
Trạm thu phí An Dân,An Dân (Thạch Bàn),8436783101,Trạm thu phí An Dân,0.0,8436783101,Trạm Thu Phí An Dân (Thạch Bàn),13.349179799716865,109.2081907,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+phi%CC%81+An+D%C3%A2n/data=!4m7!3m6!1s0x316f97f5d5f6dcdb:0x275f9ed572d5b048!8m2!3d13.3492996!4d109.2083086!16s%2Fg%2F11f2wfdyp0!19sChIJ29z21fWXbzERSLDVctWeXyc?authuser=0&hl=vi&rclk=1,13.349179799716865,109.20819069999999
Trạm thu phí An Dân,An Dân (Thạch Bàn),8436783101,Trạm thu phí An Dân,39.1,8436783100,Trạm Thu Phí An Dân (Thạch Bàn),13.349179799716865,109.2081907,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+phi%CC%81+An+D%C3%A2n/data=!4m7!3m6!1s0x316f97f5d5f6dcdb:0x275f9ed572d5b048!8m2!3d13.3492996!4d109.2083086!16s%2Fg%2F11f2wfdyp0!19sChIJ29z21fWXbzERSLDVctWeXyc?authuser=0&hl=vi&rclk=1,13.349427999716893,109.208447
Trạm thu phí An Sương - An Lạc,An Sương - An Lạc,1101467778,Trạm thu phí An Sương - An Lạc,12.3,2241417026,Trạm Thu Phí An Sương - An Lạc,10.79502456083986,106.59663958436786,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+An+S%C6%B0%C6%A1ng+-+An+L%E1%BA%A1c/@10.7949827,106.5966321,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b882c626f87:0xc3fe29f53512493a!8m2!3d10.7949827!4d106.5966321!16s%2Fg%2F11gbh_x9_3?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",10.795020899484363,106.5965273
Trạm thu phí An Sương - An Lạc,An Sương - An Lạc,1101467778,Trạm thu phí An Sương - An Lạc,12.8,2241417025,Trạm Thu Phí An Sương - An Lạc,10.79502456083986,106.59663958436786,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+An+S%C6%B0%C6%A1ng+-+An+L%E1%BA%A1c/@10.7949827,106.5966321,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b882c626f87:0xc3fe29f53512493a!8m2!3d10.7949827!4d106.5966321!16s%2Fg%2F11gbh_x9_3?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",10.79498029948436,106.59674809999999
Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),An Thuận Phát (Phước Tân),10823778103,Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),0.0,10823778103,Trạm Thu Phí An Thuận Phát (Phước Tân),10.87959379949014,106.911847,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+%C4%90%C6%B0%E1%BB%9Dng+chuy%C3%AAn+d%C3%B9ng+v%E1%BA%ADn+chuy%E1%BB%83n+VLXD+Ph%C6%B0%E1%BB%9Bc+T%C3%A2n+%28Tr%E1%BA%A1m+Ph%C6%B0%E1%BB%9Bc+T%C3%A2n%29/data=!4m7!3m6!1s0x3174df4ec25b8d53:0x4f3f9ca0ac17db93!8m2!3d10.879647!4d106.9118607!16s%2Fg%2F11nmflk_33!19sChIJU41bwk7fdDERk9sXrKCcP08?authuser=0&hl=vi&rclk=1,10.87959379949014,106.911847
Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),An Thuận Phát (Phước Tân),10823778103,Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),13.3,10823778102,Trạm Thu Phí An Thuận Phát (Phước Tân),10.87959379949014,106.911847,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+%C4%90%C6%B0%E1%BB%9Dng+chuy%C3%AAn+d%C3%B9ng+v%E1%BA%ADn+chuy%E1%BB%83n+VLXD+Ph%C6%B0%E1%BB%9Bc+T%C3%A2n+%28Tr%E1%BA%A1m+Ph%C6%B0%E1%BB%9Bc+T%C3%A2n%29/data=!4m7!3m6!1s0x3174df4ec25b8d53:0x4f3f9ca0ac17db93!8m2!3d10.879647!4d106.9118607!16s%2Fg%2F11nmflk_33!19sChIJU41bwk7fdDERk9sXrKCcP08?authuser=0&hl=vi&rclk=1,10.879675199490144,106.91193569999999
Trạm thu phí Quốc lộ 17B,BOT Quốc Lộ 17B,2174037722,Trạm thu phí Quốc lộ 17B,0.0,2174037722,Trạm Thu Phí BOT Quốc Lộ 17B,20.96477320040369,106.5191774,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+17B/data=!4m7!3m6!1s0x313580bd850df097:0x301fe632558d0a1d!8m2!3d20.9647965!4d106.5191627!16s%2Fg%2F11b682ndvk!19sChIJl_ANhb2ANTERHQqNVTLmHzA?authuser=0&hl=vi&rclk=1,20.964773200403695,106.5191774
Trạm thu phí Quốc lộ 17B,BOT Quốc Lộ 17B,2174037722,Trạm thu phí Quốc lộ 17B,10.3,10206196266,Trạm Thu Phí BOT Quốc Lộ 17B,20.96477320040369,106.5191774,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+17B/data=!4m7!3m6!1s0x313580bd850df097:0x301fe632558d0a1d!8m2!3d20.9647965!4d106.5191627!16s%2Fg%2F11b682ndvk!19sChIJl_ANhb2ANTERHQqNVTLmHzA?authuser=0&hl=vi&rclk=1,20.96485260040369,106.51912709999999
Trạm Thu phí Bình Thung,Bình Thung,1010875691,Trạm Thu Phí Bình Thung,4.4,9326222156,Trạm Thu Phí Bình Thung,10.907618060148613,106.79102643896864,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%ACnh+Thung/data=!4m7!3m6!1s0x3174d8ca55555555:0xa12a30fc88753886!8m2!3d10.9076387!4d106.7909879!16s%2Fg%2F1tj5hn2n!19sChIJVVVVVcrYdDERhjh1iPwwKqE?authuser=0&hl=vi&rclk=1,10.90758249949208,106.7910083
Trạm Thu phí Bình Thung,Bình Thung,1010875691,Trạm Thu Phí Bình Thung,6.3,9326222155,Trạm Thu Phí Bình Thung,10.907618060148613,106.79102643896864,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%ACnh+Thung/data=!4m7!3m6!1s0x3174d8ca55555555:0xa12a30fc88753886!8m2!3d10.9076387!4d106.7909879!16s%2Fg%2F1tj5hn2n!19sChIJVVVVVcrYdDERhjh1iPwwKqE?authuser=0&hl=vi&rclk=1,10.90767329949209,106.7910406
