epass_name,google_name,osm_name,osm_id,latitude,longitude,distance_to_origin,origin_osm_id,origin_osm_name,origin_osm_latitude,origin_osm_longitude,google_maps_url
Nút giao Diễn Cát,"Nút giao Diễn Cát, Diễn Châu, Nghệ An","Nút giao Diễn Cát, Diễn Châu, Nghệ An",13603305927,18.96669180031211,105.5589777,0.0,13603305927,"Nút giao Diễn Cát, Diễn Châu, Nghệ An",18.96669180031211,105.55897769999999,"https://www.google.com/maps/place/N%C3%BAt+giao+Di%E1%BB%85n+C%C3%A1t,+Di%E1%BB%85n+Ch%C3%A2u,+Ngh%E1%BB%87+An/@18.9654379,105.5593337,16.81z/data=!4m6!3m5!1s0x31376311a6d91dad:0x863e6a0c5e4add22!8m2!3d18.9648478!4d105.5618974!16s%2Fg%2F11mycdqf8r?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Diễn Cát,"Nút giao Diễn Cát, Diễn Châu, Nghệ An","Nút giao Diễn Cát, Diễn Châu, Nghệ An",13603305927,18.96669180031211,105.5589777,12.4,13603305926,"Nút giao Diễn Cát, Diễn Châu, Nghệ An",18.966738200312115,105.5590853,"https://www.google.com/maps/place/N%C3%BAt+giao+Di%E1%BB%85n+C%C3%A1t,+Di%E1%BB%85n+Ch%C3%A2u,+Ngh%E1%BB%87+An/@18.9654379,105.5593337,16.81z/data=!4m6!3m5!1s0x31376311a6d91dad:0x863e6a0c5e4add22!8m2!3d18.9648478!4d105.5618974!16s%2Fg%2F11mycdqf8r?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Nghi Sơn,Trạm thu phí BOT Nút giao Nghi Sơn,Trạm thu phí BOT Nút giao Nghi Sơn,13603305917,19.3647537,105.6952887,0.0,13603305917,Trạm thu phí BOT Nút giao Nghi Sơn,19.364753700338415,105.69528869999999,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT/@19.3647004,105.6889165,16z/data=!4m9!1m2!2m1!1zTsO6dCBnaWFvIE5naGkgU8ahbiA!3m5!1s0x313709000483c939:0x28cebd57ea76cb30!8m2!3d19.3644552!4d105.6953018!16s%2Fg%2F11z9wh5_6v?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Nghi Sơn,Trạm thu phí BOT Nút giao Nghi Sơn,Trạm thu phí BOT Nút giao Nghi Sơn,13603305917,19.3647537,105.6952887,88.0,4713812586,Trạm thu phí BOT Nút giao Nghi Sơn,19.36520160033844,105.6945974,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT/@19.3647004,105.6889165,16z/data=!4m9!1m2!2m1!1zTsO6dCBnaWFvIE5naGkgU8ahbiA!3m5!1s0x313709000483c939:0x28cebd57ea76cb30!8m2!3d19.3644552!4d105.6953018!16s%2Fg%2F11z9wh5_6v?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,13603305920,19.16762610032585,105.6102029,0.0,13603305920,Trạm Thu Phí Nút giao Quỳnh Lưu,19.16762610032585,105.6102029,"https://www.google.com/maps/place/19%C2%B010'03.1%22N+105%C2%B036'37.0%22E/@19.1684562,105.6079534,17.15z/data=!4m4!3m3!8m2!3d19.1675271!4d105.6102768?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,13603305920,19.16762610032585,105.6102029,13.5,13603305921,Trạm Thu Phí Nút giao Quỳnh Lưu,19.167527100325845,105.6102768,"https://www.google.com/maps/place/19%C2%B010'03.1%22N+105%C2%B036'37.0%22E/@19.1684562,105.6079534,17.15z/data=!4m4!3m3!8m2!3d19.1675271!4d105.6102768?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,13603305920,19.16762610032585,105.6102029,480.1,13603305922,Trạm Thu Phí Nút giao Quỳnh Lưu - nh 2,19.171372800326093,105.60793129999999,"https://www.google.com/maps/place/19%C2%B010'03.1%22N+105%C2%B036'37.0%22E/@19.1684562,105.6079534,17.15z/data=!4m4!3m3!8m2!3d19.1675271!4d105.6102768?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,13603305920,19.16762610032585,105.6102029,492.3,13603305923,Trạm Thu Phí Nút giao Quỳnh Lưu - nh 2,19.1714702003261,105.6078768,"https://www.google.com/maps/place/19%C2%B010'03.1%22N+105%C2%B036'37.0%22E/@19.1684562,105.6079534,17.15z/data=!4m4!3m3!8m2!3d19.1675271!4d105.6102768?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Quỳnh Vinh,Trạm Thu Phí Nút giao Quỳnh Vinh,Trạm Thu Phí Nút giao Quỳnh Vinh,13603305924,19.272293000332635,105.6943134,0.0,13603305924,Trạm Thu Phí Nút giao Quỳnh Vinh,19.272293000332635,105.6943134,"https://www.google.com/maps/place/N%C3%BAt+giao+Qu%E1%BB%B3nh+Vinh/@19.2729912,105.6880018,17z/data=!4m10!1m2!2m1!1zTsO6dCBnaWFvIFF14buzbmggVmluaA!3m6!1s0x31370b0016c8710b:0xd1f68d689ff7e4b7!8m2!3d19.2728823!4d105.6907575!15sChZOw7p0IGdpYW8gUXXhu7NuaCBWaW5okgETY29uZG9taW5pdW1fY29tcGxleOABAA!16s%2Fg%2F11lm9zwc7q?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
Nút giao Quỳnh Vinh,Trạm Thu Phí Nút giao Quỳnh Vinh,Trạm Thu Phí Nút giao Quỳnh Vinh,13603305924,19.272293000332635,105.6943134,12.5,13603305925,Trạm Thu Phí Nút giao Quỳnh Vinh,19.272203500332633,105.6943859,"https://www.google.com/maps/place/N%C3%BAt+giao+Qu%E1%BB%B3nh+Vinh/@19.2729912,105.6880018,17z/data=!4m10!1m2!2m1!1zTsO6dCBnaWFvIFF14buzbmggVmluaA!3m6!1s0x31370b0016c8710b:0xd1f68d689ff7e4b7!8m2!3d19.2728823!4d105.6907575!15sChZOw7p0IGdpYW8gUXXhu7NuaCBWaW5okgETY29uZG9taW5pdW1fY29tcGxleOABAA!16s%2Fg%2F11lm9zwc7q?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
